quote,book title,author
﻿The Midnight Library: A Novel (Matt Haig),﻿The Midnight Library: A Novel,Matt Haig
"It was inspiring. Because now she saw the kinds of things she could do when she put herself to work. And that, actually, the life she had been living had its own logic to it.",﻿The Midnight Library: A Novel,Matt Haig
We just have to close our eyes and savour the taste of the drink in front of us and listen to the song as it plays.,"﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
You’ll discover why reading a book several hours a day can actually add years to your life.,"﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"One intervention showed a cognitive boost in processing speed and working memory with as little as ten minutes of social interaction. Like a public television fund-raiser,","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
One intervention showed a cognitive boost in processing speed and working memory with as little as ten minutes of social interaction.,"﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
“Does socialization really decrease the rate of cognitive decline?” is a robust and hearty “Yes.”,"﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"Allostatic load is the aggregate effect of stress on your body’s capability, including brain capability, through time.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"The more social relationships you maintain, the bigger the gray matter volume in specific regions of your frontal lobe.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"Our number of friends rises sharply to peak at age twenty-five, then slowly drifts down to age forty-five, levels a bit, and continues its decline after fifty-five, completing the U shape of loneliness.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"the lonelier you are, the lonelier you become.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
Just how much damage loneliness causes in humans turns out to be astonishing. It’s at the same level as smoking. Or being too fat.,"﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"This leads to some practical advice. If you are a younger person, learn how to dance, then keep up the activity clear into your retirement years.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
"•    Stress-reducing, high-quality relationships, such as a good marriage, are particularly helpful for longevity.","﻿Brain Rules for Aging Well: 10 Principles for Staying Vital, Happy, and Sharp",John Medina
